Student Number,Name,Section,Grade,Date,Family,FD,Friends,FFD,Personal &  Health,PD,Academic / School,AD,Career,CD,Remarks,Recommendations,Others
,Kirsten I. Macapagal,Sealtiel,Grade 7,2025-01-13,sibling rivalry,,incompatibilities,,gender confusion,,transition to school life,,no identified career,,,for follow-up,
,Kristian J. Rojas,Paul,Grade 10,2025-01-14,lack of quality time,,mistrust,,poor health,,learning difficulties,,confusion,,,conference with parent/guardian,
,Kyle K. Magsino,Joseph,Grade 9,2025-01-15,parental pressure,,bullying,,low self-esteem,,teacher/s,,parents choice,,,conference with adviser/subject teacher,
,Lance L. Reyes,Martin,Grade 8,2025-01-16,lack of quality time,,peer pressure,,psychological disturbances,,laziness,,change of interest,,,for assessment,
,Leah M. Camacho,Sealtiel,Grade 7,2025-01-17,sibling rivalry,,adjustment difficulties,,physical disabilities,,difficult subjects,,undecided,,,for follow-up,
,Lila N. Laquindanum,Paul,Grade 10,2025-01-18,parent-child misunderstanding,,boy-girl relationship,,stress,,failing marks,,no identified career,,,conference with parent/guardian,
,Lucas O. Enriquez,Joseph,Grade 9,2025-01-19,financial discomfort,,incompatibilities,,hospitalization,,misbehavior,,confusion,,,conference with adviser/subject teacher,
,Lynn P. Esteban,Martin,Grade 8,2025-01-20,parental pressure,,mistrust,,gender confusion,,transition to school life,,parents choice,,,for assessment,
,Manuel Q. Tan,Sealtiel,Grade 7,2025-01-21,parent-child misunderstanding,,bullying,,poor health,,learning difficulties,,change of interest,,,for follow-up,
,Maricel R. Ramirez,Paul,Grade 10,2025-01-22,financial discomfort,,peer pressure,,low self-esteem,,teacher/s,,undecided,,,conference with parent/guardian,
,Marion S. Alvarado,Joseph,Grade 9,2025-01-23,sibling rivalry,,adjustment difficulties,,psychological disturbances,,laziness,,no identified career,,,conference with adviser/subject teacher,
,Martin T. Mendoza,Martin,Grade 8,2025-01-24,lack of quality time,,boy-girl relationship,,physical disabilities,,difficult subjects,,confusion,,,for assessment,
,Matilda U. Aquino,Sealtiel,Grade 7,2025-01-25,parental pressure,,incompatibilities,,stress,,failing marks,,parents choice,,,for follow-up,
,Miguel V. De la Cruz,Paul,Grade 10,2025-01-26,sibling rivalry,,mistrust,,hospitalization,,misbehavior,,change of interest,,,conference with parent/guardian,
,Monica W. Pineda,Joseph,Grade 9,2025-01-27,financial discomfort,,bullying,,gender confusion,,transition to school life,,undecided,,,conference with adviser/subject teacher,
,Nathan X. Villanueva,Martin,Grade 8,2025-01-28,parent-child misunderstanding,,peer pressure,,poor health,,learning difficulties,,no identified career,,,for assessment,
,Nicole Y. Castro,Sealtiel,Grade 7,2025-01-29,lack of quality time,,adjustment difficulties,,low self-esteem,,teacher/s,,confusion,,,for follow-up,
,Nino Z. Gamboa,Paul,Grade 10,2025-01-30,parental pressure,,boy-girl relationship,,psychological disturbances,,laziness,,parents choice,,,conference with parent/guardian,
,Oscar A. Tolentino,Joseph,Grade 9,2025-01-31,parent-child misunderstanding,,incompatibilities,,physical disabilities,,difficult subjects,,change of interest,,,conference with adviser/subject teacher,
,Patrick B. Mendoza,Martin,Grade 8,2025-02-01,financial discomfort,,mistrust,,stress,,failing marks,,undecided,,,for assessment,
,Peter C. Bautista,Sealtiel,Grade 7,2025-02-02,sibling rivalry,,bullying,,hospitalization,,misbehavior,,no identified career,,,for follow-up,
,Quinton D. Santos,Paul,Grade 10,2025-02-03,lack of quality time,,peer pressure,,gender confusion,,transition to school life,,confusion,,,conference with parent/guardian,
,Rafael E. Bongo,Ignatius,Grade 9,2025-02-04,parental pressure,,adjustment difficulties,,poor health,,learning difficulties,,parents choice,,,conference with adviser/subject teacher,
,Sheila F. Ubaldo,Martin,Grade 8,2025-02-05,lack of quality time,,boy-girl relationship,,low self-esteem,,teacher/s,,change of interest,,,for assessment,
,Thomas G. Reyes,Sealtiel,Grade 7,2025-02-06,sibling rivalry,,incompatibilities,,psychological disturbances,,laziness,,undecided,,,for follow-up,
,Tiffany H. Bautista,Paul,Grade 10,2025-02-07,parent-child misunderstanding,,mistrust,,physical disabilities,,difficult subjects,,no identified career,,,conference with parent/guardian,
,Ursula I. Calderon,Ignatius,Grade 9,2025-02-08,financial discomfort,,bullying,,stress,,failing marks,,confusion,,,conference with adviser/subject teacher,
,Victor J. Casal,Martin,Grade 8,2025-02-09,parental pressure,,peer pressure,,hospitalization,,misbehavior,,parents choice,,,for assessment,
,Vanessa K. Reyes,Sealtiel,Grade 7,2025-02-10,parent-child misunderstanding,,adjustment difficulties,,gender confusion,,transition to school life,,change of interest,,,for follow-up,
,William L. Del Rosario,Paul,Grade 10,2025-02-11,financial discomfort,,boy-girl relationship,,poor health,,learning difficulties,,undecided,,,conference with parent/guardian,
,Xavier M. Santos,Ignatius,Grade 9,2025-02-12,sibling rivalry,,incompatibilities,,low self-esteem,,teacher/s,,no identified career,,,conference with adviser/subject teacher,
,Yolanda N. Tan,Martin,Grade 8,2025-02-13,lack of quality time,,mistrust,,psychological disturbances,,laziness,,confusion,,,for assessment,
,Zachary O. Flores,Sealtiel,Grade 7,2025-02-14,parental pressure,,bullying,,physical disabilities,,difficult subjects,,parents choice,,,for follow-up,
,Zane P. Aquino,Paul,Grade 10,2025-02-15,sibling rivalry,,peer pressure,,stress,,failing marks,,change of interest,,,conference with parent/guardian,
,Zoe Q. Fajardo,Ignatius,Grade 9,2025-02-16,financial discomfort,,adjustment difficulties,,hospitalization,,misbehavior,,undecided,,,conference with adviser/subject teacher,
,Abigail R. Serrano,Martin,Grade 8,2025-02-17,parent-child misunderstanding,,boy-girl relationship,,gender confusion,,transition to school life,,no identified career,,,for assessment,
,Alan S. Magpantay,Sealtiel,Grade 7,2025-02-18,lack of quality time,,incompatibilities,,poor health,,learning difficulties,,confusion,,,for follow-up,
,Alicia T. Garcia,Paul,Grade 10,2025-02-19,parental pressure,,mistrust,,low self-esteem,,teacher/s,,parents choice,,,conference with parent/guardian,
,Amos U. Tablante,Ignatius,Grade 9,2025-02-20,parent-child misunderstanding,,bullying,,psychological disturbances,,laziness,,change of interest,,,conference with adviser/subject teacher,
,Andrew V. Santos,Martin,Grade 8,2025-02-21,financial discomfort,,peer pressure,,physical disabilities,,difficult subjects,,undecided,,,for assessment,
,Arlene W. Carreon,Sealtiel,Grade 7,2025-02-22,sibling rivalry,,adjustment difficulties,,stress,,failing marks,,no identified career,,,for follow-up,
,Benjamin X. Aguirre,Paul,Grade 10,2025-02-23,lack of quality time,,boy-girl relationship,,hospitalization,,misbehavior,,confusion,,,conference with parent/guardian,
,Bianca Y. Palacios,Padre Pio,Grade 9,2025-02-24,parental pressure,,incompatibilities,,gender confusion,,transition to school life,,parents choice,,,conference with adviser/subject teacher,
,Camille Z. Velasquez,Martin,Grade 8,2025-02-25,lack of quality time,,mistrust,,poor health,,learning difficulties,,change of interest,,,for assessment,
,Carlos A. Soriano,Sealtiel,Grade 7,2025-02-26,sibling rivalry,,bullying,,low self-esteem,,teacher/s,,undecided,,,for follow-up,
,Charlie B. Villalobos,Paul,Grade 10,2025-02-27,parent-child misunderstanding,,peer pressure,,psychological disturbances,,laziness,,no identified career,,,conference with parent/guardian,
,Clara C. Dizon,Padre Pio,Grade 9,2025-02-28,financial discomfort,,adjustment difficulties,,physical disabilities,,difficult subjects,,confusion,,,conference with adviser/subject teacher,
,Danica D. Alonzo,Martin,Grade 8,2025-03-01,parental pressure,,boy-girl relationship,,stress,,failing marks,,parents choice,,,for assessment,
,Elian E. Fajardo,Sealtiel,Grade 7,2025-03-02,parent-child misunderstanding,,incompatibilities,,hospitalization,,misbehavior,,change of interest,,,for follow-up,
,Enrique F. Mercado,Paul,Grade 10,2025-03-03,financial discomfort,,mistrust,,gender confusion,,transition to school life,,undecided,,,conference with parent/guardian,
,Ethan G. Reyes,Padre Pio,Grade 9,2025-03-04,sibling rivalry,,bullying,,poor health,,learning difficulties,,no identified career,,,conference with adviser/subject teacher,
,Eugenia H. Espiritu,Martin,Grade 8,2025-03-05,lack of quality time,,peer pressure,,low self-esteem,,teacher/s,,confusion,,,for assessment,
,Fiona I. Mendoza,Sealtiel,Grade 7,2025-03-06,parental pressure,,adjustment difficulties,,psychological disturbances,,failing marks,,parents choice,,,for follow-up,
,Francisco J. Tolentino,Paul,Grade 10,2025-03-07,sibling rivalry,,boy-girl relationship,,physical disabilities,,misbehavior,,change of interest,,,conference with parent/guardian,
,Gabrielle K. Cruz,Padre Pio,Grade 9,2025-03-08,financial discomfort,,incompatibilities,,stress,,transition to school life,,undecided,,,conference with adviser/subject teacher,
,Gabriel L. Ramos,Sebastian,Grade 8,2025-03-09,parent-child misunderstanding,,mistrust,,hospitalization,,learning difficulties,,no identified career,,,for assessment,
,Geraldine M. Villar,Uriel,Grade 7,2025-03-10,lack of quality time,,bullying,,gender confusion,,teacher/s,,confusion,,,for follow-up,
,Hector N. Del Rosario,Paul,Grade 10,2025-03-11,parental pressure,,peer pressure,,poor health,,laziness,,parents choice,,,conference with parent/guardian,
,Ivan O. de la Cruz,Padre Pio,Grade 9,2025-03-12,parent-child misunderstanding,,adjustment difficulties,,low self-esteem,,difficult subjects,,change of interest,,,conference with adviser/subject teacher,
,Jade P. Rivas,Sebastian,Grade 8,2025-03-13,financial discomfort,,boy-girl relationship,,psychological disturbances,,failing marks,,undecided,,,for assessment,
,Jasmine Q. Magpantay,Uriel,Grade 7,2025-03-14,sibling rivalry,,incompatibilities,,physical disabilities,,misbehavior,,no identified career,,,for follow-up,
,Jerome R. Sarmiento,Paul,Grade 10,2025-03-15,lack of quality time,,mistrust,,stress,,transition to school life,,confusion,,,conference with parent/guardian,
,Jessica S. Aquino,Padre Pio,Grade 9,2025-03-16,parental pressure,,bullying,,hospitalization,,learning difficulties,,undecided,,,conference with adviser/subject teacher,
,Joanna T. Pineda,Sebastian,Grade 8,2025-03-17,lack of quality time,,peer pressure,,gender confusion,,teacher/s,,no identified career,,,for assessment,
,John U. Ledesma,Uriel,Grade 7,2025-03-18,sibling rivalry,,incompatibilities,,physical disabilities,,laziness,,confusion,,,for follow-up,
,Jordan V. Macapagal,Peter,Grade 10,2025-03-19,parent-child misunderstanding,,mistrust,,stress,,difficult subjects,,parents choice,,,conference with parent/guardian,
,Josiah W. Navarro,Padre Pio,Grade 9,2025-03-20,financial discomfort,,bullying,,hospitalization,,failing marks,,change of interest,,,conference with adviser/subject teacher,
,Juan X. Valdez,Sebastian,Grade 8,2025-03-21,parental pressure,,peer pressure,,gender confusion,,misbehavior,,undecided,,,for assessment,
,Julia Y. Gochangco,Uriel,Grade 7,2025-03-22,parent-child misunderstanding,,adjustment difficulties,,poor health,,transition to school life,,no identified career,,,for follow-up,
,Justin Z. Bacani,Peter,Grade 10,2025-03-23,financial discomfort,,boy-girl relationship,,low self-esteem,,learning difficulties,,confusion,,,conference with parent/guardian,
,Karen A. Santiago,Lorenzo,Grade 9,2025-03-24,sibling rivalry,,incompatibilities,,psychological disturbances,,teacher/s,,parents choice,,,conference with adviser/subject teacher,
,Karla B. Valenzuela,Sebastian,Grade 8,2025-03-25,lack of quality time,,mistrust,,physical disabilities,,laziness,,change of interest,,,for assessment,
,Kiana C. Alvarez,Uriel,Grade 7,2025-03-26,parental pressure,,bullying,,stress,,difficult subjects,,undecided,,,for follow-up,
,Kimberly D. Dizon,Peter,Grade 10,2025-03-27,sibling rivalry,,peer pressure,,hospitalization,,failing marks,,no identified career,,,conference with parent/guardian,
,Kirsten E. Manalo,Lorenzo,Grade 9,2025-03-28,financial discomfort,,adjustment difficulties,,gender confusion,,misbehavior,,confusion,,,conference with adviser/subject teacher,
,Kristian F. Tolentino,Sebastian,Grade 8,2025-03-29,parent-child misunderstanding,,boy-girl relationship,,poor health,,transition to school life,,parents choice,,,for assessment,
,Kyle G. Soriano,Uriel,Grade 7,2025-03-30,lack of quality time,,incompatibilities,,low self-esteem,,learning difficulties,,change of interest,,,for follow-up,
,Lance H. Rivera,Peter,Grade 10,2025-03-31,parental pressure,,mistrust,,psychological disturbances,,teacher/s,,undecided,,,conference with parent/guardian,
,Leah I. Fernandez,Lorenzo,Grade 9,2025-04-01,parent-child misunderstanding,,bullying,,physical disabilities,,laziness,,no identified career,,,conference with adviser/subject teacher,
,Lila J. Villegas,Sebastian,Grade 8,2025-04-02,financial discomfort,,peer pressure,,stress,,difficult subjects,,confusion,,,for assessment,
,Lucas K. Aquino,Uriel,Grade 7,2025-04-03,sibling rivalry,,adjustment difficulties,,hospitalization,,failing marks,,parents choice,,,for follow-up,
,Lynn L. Maglinao,Peter,Grade 10,2025-04-04,lack of quality time,,boy-girl relationship,,gender confusion,,misbehavior,,change of interest,,,conference with parent/guardian,
,Manuel M. Ramos,Lorenzo,Grade 9,2025-04-05,parental pressure,,incompatibilities,,poor health,,transition to school life,,undecided,,,conference with adviser/subject teacher,
,Maricel N. Garcia,Sebastian,Grade 8,2025-04-06,lack of quality time,,mistrust,,low self-esteem,,learning difficulties,,no identified career,,,for assessment,
,Marion O. Sevilla,Uriel,Grade 7,2025-04-07,sibling rivalry,,bullying,,psychological disturbances,,teacher/s,,confusion,,,for follow-up,
,Martin P. Mendoza,Peter,Grade 10,2025-04-08,parent-child misunderstanding,,peer pressure,,physical disabilities,,laziness,,parents choice,,,conference with parent/guardian,
,Matilda Q. Macapagal,Lorenzo,Grade 9,2025-04-09,financial discomfort,,adjustment difficulties,,stress,,difficult subjects,,change of interest,,,conference with adviser/subject teacher,
,Miguel R. Sarmiento,Sebastian,Grade 8,2025-04-10,parental pressure,,boy-girl relationship,,hospitalization,,failing marks,,undecided,,,for assessment,
,Monica S. Sanchez,Uriel,Grade 7,2025-04-11,parent-child misunderstanding,,incompatibilities,,gender confusion,,misbehavior,,no identified career,,,for follow-up,
,Nathan T. Robles,Peter,Grade 10,2025-04-12,financial discomfort,,mistrust,,poor health,,transition to school life,,confusion,,,conference with parent/guardian,
,Nicole U. Alarcon,Lorenzo,Grade 9,2025-04-13,sibling rivalry,,bullying,,low self-esteem,,learning difficulties,,parents choice,,,conference with adviser/subject teacher,
,Nino V. Reyes,Sebastian,Grade 8,2025-04-14,lack of quality time,,peer pressure,,psychological disturbances,,teacher/s,,change of interest,,,for assessment,
,Oscar W. Mendoza,Uriel,Grade 7,2025-04-15,parental pressure,,adjustment difficulties,,physical disabilities,,laziness,,undecided,,,for follow-up,
,Patrick X. Magsino,Peter,Grade 10,2025-04-16,sibling rivalry,,boy-girl relationship,,stress,,difficult subjects,,no identified career,,,conference with parent/guardian,
,Peter Y. Tolentino,Lorenzo,Grade 9,2025-04-17,financial discomfort,,incompatibilities,,hospitalization,,failing marks,,confusion,,,conference with adviser/subject teacher,
,Quinton Z. Gamboa,Sebastian,Grade 8,2025-04-18,parent-child misunderstanding,,mistrust,,gender confusion,,misbehavior,,parents choice,,,for assessment,
,Rafael A. Villalobos,Uriel,Grade 7,2025-04-19,lack of quality time,,bullying,,poor health,,transition to school life,,change of interest,,,for follow-up,
,Sheila B. Camacho,Peter,Grade 10,2025-04-20,parental pressure,,peer pressure,,low self-esteem,,learning difficulties,,undecided,,,conference with parent/guardian,
,Thomas C. De Guzman,Uriel,Grade 7,2025-04-21,parent-child misunderstanding,,adjustment difficulties,,psychological disturbances,,teacher/s,,no identified career,,,conference with adviser/subject teacher,
,Tiffany D. Fajardo,Peter,Grade 10,2025-04-22,financial discomfort,,boy-girl relationship,,physical disabilities,,laziness,,confusion,,,for assessment,
,Ursula E. Lanuza,Uriel,Grade 7,2025-04-23,sibling rivalry,,incompatibilities,,stress,,difficult subjects,,parents choice,,,for follow-up,
,Victor F. Rivas,Peter,Grade 10,2025-04-24,lack of quality time,,mistrust,,hospitalization,,failing marks,,change of interest,,,conference with parent/guardian,
,Vanessa G. Tablante,Lorenzo,Grade 9,2025-04-25,parental pressure,,bullying,,gender confusion,,misbehavior,,undecided,,,conference with adviser/subject teacher,
,William H. Bautista,Sebastian,Grade 8,2025-04-26,lack of quality time,,peer pressure,,poor health,,transition to school life,,no identified career,,,for assessment,
,Xavier I. Cruz,Uriel,Grade 7,2025-04-27,sibling rivalry,,adjustment difficulties,,low self-esteem,,learning difficulties,,confusion,,,for follow-up,
,Yolanda J. Reyes,Peter,Grade 10,2025-04-28,parent-child misunderstanding,,boy-girl relationship,,psychological disturbances,,teacher/s,,parents choice,,,conference with parent/guardian,
,Zachary K. Villanueva,Joseph,Grade 9,2025-04-29,financial discomfort,,incompatibilities,,physical disabilities,,laziness,,change of interest,,,conference with adviser/subject teacher,
,Zane L. Aquino,Sebastian,Grade 8,2025-04-30,parental pressure,,mistrust,,stress,,difficult subjects,,undecided,,,for assessment,
,Zoe M. Dela Cruz,Uriel,Grade 7,2025-05-01,parent-child misunderstanding,,bullying,,hospitalization,,failing marks,,no identified career,,,for follow-up,
,Abigail N. Navarro,Peter,Grade 10,2025-05-02,financial discomfort,,peer pressure,,gender confusion,,misbehavior,,confusion,,,conference with parent/guardian,
,Alan O. Macalino,Joseph,Grade 9,2025-05-03,sibling rivalry,,adjustment difficulties,,poor health,,transition to school life,,parents choice,,,conference with adviser/subject teacher,
,Alicia P. Magsino,Sebastian,Grade 8,2025-05-04,lack of quality time,,boy-girl relationship,,low self-esteem,,learning difficulties,,change of interest,,,for assessment,
,Amos Q. Macapagal,Uriel,Grade 7,2025-05-05,parental pressure,,incompatibilities,,psychological disturbances,,teacher/s,,undecided,,,for follow-up,
,Andrew R. Mendez,Peter,Grade 10,2025-05-06,sibling rivalry,,mistrust,,physical disabilities,,laziness,,no identified career,,,conference with parent/guardian,
,Arlene S. Bautista,Joseph,Grade 9,2025-05-07,financial discomfort,,bullying,,stress,,difficult subjects,,confusion,,,conference with adviser/subject teacher,
,Benjamin T. Almonte,Sebastian,Grade 8,2025-05-08,parent-child misunderstanding,,peer pressure,,hospitalization,,failing marks,,parents choice,,,for assessment,
,Bianca U. Robles,Uriel,Grade 7,2025-05-09,lack of quality time,,adjustment difficulties,,gender confusion,,misbehavior,,change of interest,,,for follow-up,
,Camille V. Soriano,Peter,Grade 10,2025-05-10,parental pressure,,boy-girl relationship,,poor health,,transition to school life,,undecided,,,conference with parent/guardian,
,Carlos W. Fernandez,Ignatius,Grade 9,2025-05-11,parent-child misunderstanding,,incompatibilities,,low self-esteem,,learning difficulties,,no identified career,,,conference with adviser/subject teacher,
,Charlie X. Ramos,Sebastian,Grade 8,2025-05-12,financial discomfort,,mistrust,,psychological disturbances,,teacher/s,,confusion,,,for assessment,
,Clara Y. del Rosario,Uriel,Grade 7,2025-05-13,sibling rivalry,,bullying,,physical disabilities,,laziness,,parents choice,,,for follow-up,
,Danica Z. Gamboa,Peter,Grade 10,2025-05-14,lack of quality time,,peer pressure,,stress,,difficult subjects,,change of interest,,,conference with parent/guardian,
,Elian A. Alquiza,Ignatius,Grade 9,2025-05-15,parental pressure,,adjustment difficulties,,hospitalization,,failing marks,,undecided,,,conference with adviser/subject teacher,
,Enrique B. Bautista,Sebastian,Grade 8,2025-05-16,lack of quality time,,boy-girl relationship,,gender confusion,,misbehavior,,no identified career,,,for assessment,
,Ethan C. De Guzman,Uriel,Grade 7,2025-05-17,sibling rivalry,,incompatibilities,,poor health,,transition to school life,,confusion,,,for follow-up,
,Eugenia D. Mendoza,Peter,Grade 10,2025-05-18,parent-child misunderstanding,,mistrust,,low self-esteem,,learning difficulties,,parents choice,,,conference with parent/guardian,
,Fiona E. Quintero,Andrew,Grade 9,2025-05-19,financial discomfort,,bullying,,psychological disturbances,,teacher/s,,change of interest,,,conference with adviser/subject teacher,
,Francisco F. Castro,Sebastian,Grade 8,2025-05-20,parental pressure,,peer pressure,,physical disabilities,,laziness,,undecided,,,for assessment,
,Gabrielle G. Espiritu,Uriel,Grade 7,2025-05-21,parent-child misunderstanding,,adjustment difficulties,,stress,,difficult subjects,,no identified career,,,for follow-up,
,Gabriel H. Villar,Peter,Grade 10,2025-05-22,financial discomfort,,boy-girl relationship,,hospitalization,,failing marks,,confusion,,,conference with parent/guardian,
,Geraldine I. Dizon,Andrew,Grade 9,2025-05-23,sibling rivalry,,incompatibilities,,gender confusion,,misbehavior,,parents choice,,,conference with adviser/subject teacher,
,Hector J. Palacios,Sebastian,Grade 8,2025-05-24,lack of quality time,,mistrust,,poor health,,transition to school life,,change of interest,,,for assessment,
,Ivan K. Velasquez,Uriel,Grade 7,2025-05-25,parental pressure,,bullying,,low self-esteem,,learning difficulties,,undecided,,,for follow-up,
,Jade L. Aquino,Peter,Grade 10,2025-05-26,sibling rivalry,,peer pressure,,psychological disturbances,,teacher/s,,no identified career,,,conference with parent/guardian,
,Jasmine M. Magpantay,Uriel,Grade 7,2025-05-27,financial discomfort,,adjustment difficulties,,physical disabilities,,laziness,,confusion,,,conference with adviser/subject teacher,
,Jerome N. Tan,Peter,Grade 10,2025-05-28,parent-child misunderstanding,,boy-girl relationship,,stress,,difficult subjects,,parents choice,,,for assessment,
,Ana L. Garcia,St. Nicholas,Kinder,2025-05-29,parental pressure,,incompatibilities,,physical disabilities,,failing marks,,undecided,,,for follow-up,
,Jose M. Reyes,Agatha,Grade 1,2025-05-30,lack of quality time,,mistrust,,stress,,misbehavior,,no identified career,,,conference with parent/guardian,
,Maria A. Santos,Bernadette,Grade 2,2025-05-31,financial discomfort,,bullying,,hospitalization,,transition to school life,,confusion,,,conference with adviser/subject teacher,
,Carlos T. Cruz,Maxwell,Grade 3,2025-06-01,sibling rivalry,,peer pressure,,gender confusion,,learning difficulties,,parents choice,,,for assessment,
,Isabel J. Mendoza,Margaret,Grade 4,2025-06-02,parent-child misunderstanding,,adjustment difficulties,,poor health,,teacher/s,,change of interest,,,for follow-up,
,David R. Dela Cruz,Magdalene,Grade 5,2025-06-03,sibling rivalry,,boy-girl relationship,,low self-esteem,,laziness,,undecided,,,conference with parent/guardian,
,Patricia B. Torres,Alexander,Grade 6,2025-06-04,parental pressure,,incompatibilities,,psychological disturbances,,difficult subjects,,no identified career,,,conference with adviser/subject teacher,
,Juan P. Ramirez,Agatha,Grade 1,2025-06-05,lack of quality time,,mistrust,,physical disabilities,,failing marks,,confusion,,,for assessment,
,Elena K. Aquino,St. Nicholas,Kinder,2025-06-06,parent-child misunderstanding,,bullying,,stress,,misbehavior,,parents choice,,,for follow-up,
,Miguel V. Bautista,Bernadette,Grade 2,2025-06-07,financial discomfort,,peer pressure,,hospitalization,,transition to school life,,change of interest,,,conference with parent/guardian,
,Raquel E. Lopez,Maxwell,Grade 3,2025-06-08,lack of quality time,,adjustment difficulties,,gender confusion,,learning difficulties,,undecided,,,conference with adviser/subject teacher,
,Roberto F. Villarreal,Margaret,Grade 4,2025-06-09,sibling rivalry,,boy-girl relationship,,poor health,,teacher/s,,no identified career,,,for assessment,
,Lucia D. Moreno,Magdalene,Grade 5,2025-06-10,parent-child misunderstanding,,incompatibilities,,low self-esteem,,laziness,,confusion,,,for follow-up,
,Andres H. Reyes,Alexander,Grade 6,2025-06-11,financial discomfort,,mistrust,,psychological disturbances,,difficult subjects,,parents choice,,,conference with parent/guardian,
,Carmen G. Rodriguez,Bernadette,Grade 2,2025-06-12,parental pressure,,bullying,,physical disabilities,,failing marks,,change of interest,,,conference with adviser/subject teacher,
,Antonio S. Diaz,Maxwell,Grade 3,2025-06-13,sibling rivalry,,peer pressure,,stress,,misbehavior,,undecided,,,for assessment,
,Nina C. Valdez,Margaret,Grade 4,2025-06-14,lack of quality time,,adjustment difficulties,,hospitalization,,transition to school life,,no identified career,,,for follow-up,
,Victor O. Fernandez,Agatha,Grade 1,2025-06-15,parent-child misunderstanding,,boy-girl relationship,,gender confusion,,learning difficulties,,confusion,,,conference with parent/guardian,
,Jessica Y. Palacios,St. Nicholas,Kinder,2025-06-16,financial discomfort,,incompatibilities,,poor health,,teacher/s,,parents choice,,,conference with adviser/subject teacher,
,Felipe W. Navarro,Alexander,Grade 6,2025-06-17,parental pressure,,mistrust,,low self-esteem,,laziness,,change of interest,,,for assessment,
,Teresa M. De Guzman,Magdalene,Grade 5,2025-06-18,financial discomfort,,bullying,,psychological disturbances,,difficult subjects,,undecided,,,for follow-up,
,Luis D. Aguilar,Margaret,Grade 4,2025-06-19,sibling rivalry,,peer pressure,,physical disabilities,,failing marks,,no identified career,,,conference with parent/guardian,
,Catherine P. Rivera,Maxwell,Grade 3,2025-06-20,parent-child misunderstanding,,adjustment difficulties,,stress,,misbehavior,,confusion,,,conference with adviser/subject teacher,
,Edgar R. Jimenez,Bernadette,Grade 2,2025-06-21,lack of quality time,,boy-girl relationship,,hospitalization,,transition to school life,,parents choice,,,for assessment,
,Martha V. Morales,St. Nicholas,Kinder,2025-06-22,parental pressure,,incompatibilities,,gender confusion,,learning difficulties,,change of interest,,,for follow-up,
,Alfonso L. Santiago,Magdalene,Grade 5,2025-06-23,parent-child misunderstanding,,mistrust,,poor health,,teacher/s,,undecided,,,conference with parent/guardian,
,Sofia Q. Garcia,Alexander,Grade 6,2025-06-24,financial discomfort,,bullying,,low self-esteem,,laziness,,no identified career,,,conference with adviser/subject teacher,
,Carlos J. Perez,Agatha,Grade 1,2025-06-25,sibling rivalry,,peer pressure,,psychological disturbances,,difficult subjects,,confusion,,,for assessment,
,Benedicta T. Ramos,Margaret,Grade 4,2025-06-26,lack of quality time,,adjustment difficulties,,physical disabilities,,failing marks,,parents choice,,,for follow-up,
,Julian K. Silva,Bernadette,Grade 2,2025-06-27,parental pressure,,boy-girl relationship,,stress,,misbehavior,,change of interest,,,conference with parent/guardian,
,Olivia W. Castro,Maxwell,Grade 3,2025-06-28,sibling rivalry,,incompatibilities,,hospitalization,,transition to school life,,undecided,,,conference with adviser/subject teacher,
,Francisco D. Mendoza,Agatha,Grade 1,2025-06-29,financial discomfort,,mistrust,,gender confusion,,learning difficulties,,no identified career,,,for assessment,
,Lydia N. Lopez,Alexander,Grade 6,2025-06-30,parent-child misunderstanding,,bullying,,poor health,,teacher/s,,confusion,,,for follow-up,
,Dante O. De La Cruz,St. Nicholas,Kinder,2025-07-01,lack of quality time,,peer pressure,,low self-esteem,,laziness,,parents choice,,,conference with parent/guardian,
,Monica B. Gutierrez,Magdalene,Grade 5,2025-07-02,parental pressure,,adjustment difficulties,,psychological disturbances,,difficult subjects,,change of interest,,,conference with adviser/subject teacher,
,Roberto M. Navarro,Bernadette,Grade 2,2025-07-03,parent-child misunderstanding,,boy-girl relationship,,physical disabilities,,failing marks,,undecided,,,for assessment,
,Evelyn F. Rodriguez,Maxwell,Grade 3,2025-07-04,financial discomfort,,incompatibilities,,stress,,misbehavior,,no identified career,,,for follow-up,
,Rafael S. Hernandez,Margaret,Grade 4,2025-07-05,sibling rivalry,,mistrust,,hospitalization,,transition to school life,,confusion,,,conference with parent/guardian,
,Geraldine V. Torres,Alexander,Grade 6,2025-07-06,lack of quality time,,bullying,,gender confusion,,learning difficulties,,parents choice,,,conference with adviser/subject teacher,
,Victor H. Bautista,Agatha,Grade 1,2025-07-07,parental pressure,,peer pressure,,poor health,,teacher/s,,change of interest,,,for assessment,
,Santiago R. Cruz,Maxwell,Grade 3,2025-07-08,lack of quality time,,adjustment difficulties,,low self-esteem,,laziness,,undecided,,,for follow-up,
,Hector A. Ramirez,Bernadette,Grade 2,2025-07-09,sibling rivalry,,boy-girl relationship,,psychological disturbances,,difficult subjects,,no identified career,,,conference with parent/guardian,
,Lina G. Fernandez,St. Nicholas,Kinder,2025-07-10,parent-child misunderstanding,,incompatibilities,,physical disabilities,,failing marks,,confusion,,,conference with adviser/subject teacher,
,Ernesto M. Cruz,Magdalene,Grade 5,2025-07-11,financial discomfort,,mistrust,,stress,,misbehavior,,parents choice,,,for assessment,
,Raul D. Valdez,Margaret,Grade 4,2025-07-12,parental pressure,,bullying,,hospitalization,,transition to school life,,change of interest,,,for follow-up,
